	method	tf	M	fid	args
260	DT	39.317827762509644	108	0.99999999	(8, 4, 1223749, 10, 1.0)
261	DT	30.905755670485895	46	0.9999998857826431	(4, 2, 1223749, 3, 1.0)
262	DT	30.905755670485895	46	0.9956223816276754	(4, 2, 1223749, 3, 1.0)
263	DT	30.256353376570324	75	0.9999970620690759	(7, 4, 1223749, 11, 1.0)
264	DT	39.317827762509644	108	0.9999664437295102	(8, 4, 1223749, 10, 1.0)
265	DT	21.672125071453813	51	0.9777979725285864	(6, 3, 1223749, 0, 1.0)
266	DT	46.62934994568243	116	0.9999999774795342	(7, 4, 1223749, 4, 1.0)
267	DT	40.061516146707994	90	0.9999244297158603	(6, 3, 1223749, 8, 1.0)
268	DT	74.45778192576036	204	0.9999850996552149	(8, 4, 1223749, 15, 1.0)
269	DT	40.061516146707994	90	0.9777979725285864	(6, 3, 1223749, 8, 1.0)
270	DT	44.824482184586365	67	0.9999986954395383	(4, 2, 1223749, 2, 1.0)
271	DT	70.09187833087464	192	0.9999999492828621	(8, 4, 1223749, 5, 1.0)
272	DT	20.272053826375494	50	0.9999999774795342	(7, 4, 1223749, 8, 1.0)
273	DT	18.134337405558778	40	1.0	(6, 3, 1223749, 3, 1.0)
274	DT	74.45778192576036	204	0.9999999492828621	(8, 4, 1223749, 15, 1.0)
275	DT	19.86570280553979	37	0.999993383642715	(5, 3, 1223749, 4, 1.0)
276	DT	74.45778192576036	204	1.0	(8, 4, 1223749, 15, 1.0)
277	DT	20.08351234691571	30	0.9777979725285864	(4, 2, 1223749, 1, 1.0)
278	DT	44.824482184586365	67	0.9996167291477257	(4, 2, 1223749, 2, 1.0)
279	DT	27.669801480694208	51	0.9999244297158603	(5, 3, 1223749, 5, 1.0)
280	DT	70.09187833087464	192	0.9956223816276754	(8, 4, 1223749, 5, 1.0)
281	DT	20.71490841274122	41	0.9999994207222558	(5, 3, 1223749, 2, 1.0)
282	DT	31.87383328062299	95	0.9991368561885445	(8, 4, 1223749, 0, 1.0)
283	DT	25.072408441975732	50	0.9999999492828621	(4, 2, 1223749, 0, 1.0)
284	DT	39.317827762509644	108	0.9999244297158603	(8, 4, 1223749, 10, 1.0)
285	DT	20.272053826375494	50	0.95	(7, 4, 1223749, 8, 1.0)
286	DT	46.62934994568243	116	0.9991368561885445	(7, 4, 1223749, 4, 1.0)
287	DT	20.08351234691571	30	0.9999999774795342	(4, 2, 1223749, 1, 1.0)
288	DT	18.580306022564123	37	0.99999999	(5, 3, 1223749, 0, 1.0)
289	DT	18.580306022564123	37	0.999993383642715	(5, 3, 1223749, 0, 1.0)
290	DT	30.905755670485895	46	0.9980561599327656	(4, 2, 1223749, 3, 1.0)
291	DT	19.86570280553979	37	0.9999997427771922	(5, 3, 1223749, 4, 1.0)
292	DT	19.86570280553979	37	0.9999999492828621	(5, 3, 1223749, 4, 1.0)
293	DT	44.824482184586365	67	0.9999244297158603	(4, 2, 1223749, 2, 1.0)
294	DT	20.272053826375494	50	0.9999994207222558	(7, 4, 1223749, 8, 1.0)
295	DT	20.71490841274122	41	0.9999244297158603	(5, 3, 1223749, 2, 1.0)
296	DT	20.272053826375494	50	0.9999244297158603	(7, 4, 1223749, 8, 1.0)
297	DT	18.134337405558778	40	0.9956223816276754	(6, 3, 1223749, 3, 1.0)
298	DT	46.62934994568243	116	0.9996167291477257	(7, 4, 1223749, 4, 1.0)
299	DT	30.256353376570324	75	0.9999994207222558	(7, 4, 1223749, 11, 1.0)
300	DT	44.824482184586365	67	0.999993383642715	(4, 2, 1223749, 2, 1.0)
301	DT	36.72400022377217	82	0.9901413995231718	(6, 3, 1223749, 6, 1.0)
302	DT	36.72400022377217	82	0.99999999	(6, 3, 1223749, 6, 1.0)
303	DT	36.72400022377217	82	1.0	(6, 3, 1223749, 6, 1.0)
304	DT	31.87383328062299	95	0.9999664437295102	(8, 4, 1223749, 0, 1.0)
305	DT	46.62934994568243	116	0.9999664437295102	(7, 4, 1223749, 4, 1.0)
306	DT	74.45778192576036	204	0.9777979725285864	(8, 4, 1223749, 15, 1.0)
307	DT	20.272053826375494	50	0.9999998857826431	(7, 4, 1223749, 8, 1.0)
308	DT	18.580306022564123	37	0.9999986954395383	(5, 3, 1223749, 0, 1.0)
309	DT	40.061516146707994	90	0.9991368561885445	(6, 3, 1223749, 8, 1.0)
310	DT	46.62934994568243	116	0.95	(7, 4, 1223749, 4, 1.0)
311	DT	21.672125071453813	51	0.9999999774795342	(6, 3, 1223749, 0, 1.0)
312	DT	19.86570280553979	37	0.9980561599327656	(5, 3, 1223749, 4, 1.0)
313	DT	19.86570280553979	37	0.9999850996552149	(5, 3, 1223749, 4, 1.0)
314	DT	70.09187833087464	192	0.9980561599327656	(8, 4, 1223749, 5, 1.0)
315	DT	39.317827762509644	108	0.9999850996552149	(8, 4, 1223749, 10, 1.0)
316	DT	74.45778192576036	204	0.99999999	(8, 4, 1223749, 15, 1.0)
317	DT	40.061516146707994	90	0.9999997427771922	(6, 3, 1223749, 8, 1.0)
318	DT	20.272053826375494	50	0.9999999492828621	(7, 4, 1223749, 8, 1.0)
319	DT	44.824482184586365	67	0.9999997427771922	(4, 2, 1223749, 2, 1.0)
320	DT	30.256353376570324	75	0.9999998857826431	(7, 4, 1223749, 11, 1.0)
321	DT	25.072408441975732	50	0.99999999	(4, 2, 1223749, 0, 1.0)
322	DT	18.134337405558778	40	0.9991368561885445	(6, 3, 1223749, 3, 1.0)
323	DT	27.669801480694208	51	0.99999999	(5, 3, 1223749, 5, 1.0)
324	DT	19.86570280553979	37	0.9999664437295102	(5, 3, 1223749, 4, 1.0)
325	DT	36.72400022377217	82	0.9991368561885445	(6, 3, 1223749, 6, 1.0)
326	DT	20.71490841274122	41	0.9998298122001763	(5, 3, 1223749, 2, 1.0)
327	DT	20.71490841274122	41	0.9999998857826431	(5, 3, 1223749, 2, 1.0)
328	DT	39.317827762509644	108	0.9999999774795342	(8, 4, 1223749, 10, 1.0)
329	DT	39.317827762509644	108	0.9999986954395383	(8, 4, 1223749, 10, 1.0)
330	DT	27.669801480694208	51	0.9777979725285864	(5, 3, 1223749, 5, 1.0)
331	DT	19.86570280553979	37	0.9956223816276754	(5, 3, 1223749, 4, 1.0)
332	DT	19.86570280553979	37	0.9996167291477257	(5, 3, 1223749, 4, 1.0)
333	DT	18.580306022564123	37	0.9980561599327656	(5, 3, 1223749, 0, 1.0)
334	DT	46.62934994568243	116	0.9901413995231718	(7, 4, 1223749, 4, 1.0)
335	DT	44.824482184586365	67	0.9956223816276754	(4, 2, 1223749, 2, 1.0)
336	DT	18.134337405558778	40	0.99999999	(6, 3, 1223749, 3, 1.0)
337	DT	74.45778192576036	204	0.9901413995231718	(8, 4, 1223749, 15, 1.0)
338	DT	20.71490841274122	41	0.9999850996552149	(5, 3, 1223749, 2, 1.0)
339	DT	30.256353376570324	75	0.9998298122001763	(7, 4, 1223749, 11, 1.0)
340	DT	20.272053826375494	50	0.9777979725285864	(7, 4, 1223749, 8, 1.0)
341	DT	20.71490841274122	41	0.9999970620690759	(5, 3, 1223749, 2, 1.0)
342	DT	44.824482184586365	67	0.9999850996552149	(4, 2, 1223749, 2, 1.0)
343	DT	20.272053826375494	50	0.9901413995231718	(7, 4, 1223749, 8, 1.0)
344	DT	31.87383328062299	95	0.9998298122001763	(8, 4, 1223749, 0, 1.0)
345	DT	18.580306022564123	37	0.9999994207222558	(5, 3, 1223749, 0, 1.0)
346	DT	19.86570280553979	37	0.9901413995231718	(5, 3, 1223749, 4, 1.0)
347	DT	25.072408441975732	50	0.9999997427771922	(4, 2, 1223749, 0, 1.0)
348	DT	19.86570280553979	37	1.0	(5, 3, 1223749, 4, 1.0)
349	DT	40.061516146707994	90	0.9999986954395383	(6, 3, 1223749, 8, 1.0)
350	DT	15.063243419319775	41	0.9991368561885445	(7, 4, 1223749, 0, 1.0)
351	DT	39.317827762509644	108	0.9999998857826431	(8, 4, 1223749, 10, 1.0)
352	DT	20.71490841274122	41	0.9956223816276754	(5, 3, 1223749, 2, 1.0)
353	DT	30.256353376570324	75	0.9999997427771922	(7, 4, 1223749, 11, 1.0)
354	DT	20.71490841274122	41	0.9991368561885445	(5, 3, 1223749, 2, 1.0)
355	DT	20.272053826375494	50	0.9999850996552149	(7, 4, 1223749, 8, 1.0)
356	DT	40.061516146707994	90	0.9999850996552149	(6, 3, 1223749, 8, 1.0)
357	DT	46.62934994568243	116	0.9777979725285864	(7, 4, 1223749, 4, 1.0)
